H01-1001.1,Oral communication
H01-1001.2,storage media and networks 
H01-1001.3,conversation
H01-1001.4,large database 
H01-1001.5,information retrieval techniques
H01-1001.6,histogram 
H01-1001.7,keywords
H01-1001.8,document representation 
H01-1001.9,oral communication
H01-1001.10, indices 
H01-1001.11,index 
H01-1001.12,automatic detection
H01-1001.13,database
H01-1001.14,database
H01-1001.15,TV shows 
H01-1001.16,Emotions
H01-1001.17,indices
H01-1001.18,dominance distribution of speakers
H01-1001.19,surface 
H01-1001.20,databases
H01-1001.21,indices
H01-1017.1,mixed-initiative speech dialogue interactions 
H01-1017.2,dialogue systems
H01-1017.3,DARPA Communicator program 
H01-1017.4,distributed message-passing infrastructure 
H01-1017.5,dialogue systems
H01-1017.6,Communicator 
H01-1017.7, requirements 
H01-1017.8,software infrastructure
H01-1041.1,Korean-to-English machine translation system 
H01-1041.2,CCLINC (Common Coalition Language System at Lincoln Laboratory)
H01-1041.3,CCLINC Korean-to-English translation system 
H01-1041.4,core modules
H01-1041.5,language understanding and generation modules 
H01-1041.6,language neutral meaning representation
H01-1041.7,semantic frame 
H01-1041.8,parsing 
H01-1041.9,Korean
H01-1041.10,verb final language 
H01-1041.11,overt case markers
H01-1041.12, free word order 
H01-1041.13,arguments
H01-1041.14,translation 
H01-1041.15,word sense disambiguation
H01-1041.16,word order generation 
H01-1041.17,target language
H01-1041.18,Rapid system development 
H01-1041.19,domains
H01-1041.20, knowledge-based automated acquisition of grammars 
H01-1041.21,Korean newspaper articles
H01-1041.22,translation output 
H01-1041.23,original document
H01-1042.1,automated evaluation techniques 
H01-1042.2,human language learners
H01-1042.3,output
H01-1042.4,machine translation (MT) systems 
H01-1042.5,evaluation techniques
H01-1042.6,human language learning process
H01-1042.7,translation process 
H01-1042.8,development
H01-1042.9,machine translation systems 
H01-1042.10, intelligibility 
H01-1042.11,MT output
H01-1042.12,language learning experiment 
H01-1042.13,assessors
H01-1042.14,native from non-native language essays 
H01-1042.15,words
H01-1042.16,assessors
H01-1042.17,machine translation output 
H01-1042.18,translated newswire text 
H01-1042.19,expert human translations
H01-1042.20,machine translation outputs
H01-1042.21,expert human translation 
H01-1042.22,machine translation
H01-1042.23,word
H01-1049.1,Listen-Communicate-Show (LCS)
H01-1049.2,human interaction with data sources 
H01-1049.3,spoken language understanding system
H01-1049.4,intelligent mobile agents 
H01-1049.5,users
H01-1049.6,information sources 
H01-1049.7, LCS-Marine 
H01-1049.8,LCS-Marine
H01-1049.9,mobile, intelligent agent 
H01-1049.10,database
H01-1049.11,Requestors 
H01-1049.12,request 
H01-1049.13,request
H01-1049.14,new domains
H01-1058.1,language models (LMs) 
H01-1058.2,interpolation methods
H01-1058.3,log-linear and linear interpolation 
H01-1058.4,performance
H01-1058.5,performance 
H01-1058.6,oracle
H01-1058.7,oracle
H01-1058.8,reference word string 
H01-1058.9,word string
H01-1058.10, performance 
H01-1058.11,word or semantic error rate
